name,color
San Francisco Caltrain (Townsend at 4th),#FFBF00
San Francisco Caltrain 2 (330 Townsend),#FF7E00
Temporary Transbay Terminal (Howard at Beale),#3B3B6D
Market at Sansome,#391802
2nd at Townsend,#804040
Harry Bridges Plaza (Ferry Building),#D3AF37
Steuart at Market,#34B334
Townsend at 7th,#FF8B00
Market at 10th,#FF9899
2nd at South Park,#431C53
Market at 4th,#B32134
Embarcadero at Sansome,#FF033E
Beale at Market,#CFCFCF
2nd at Folsom,#551B8C
Powell Street BART,#F2B400
Grant Avenue at Columbus Avenue,#9966CC
South Van Ness at Market,#A4C639
Embarcadero at Folsom,#F2F3F4
Embarcadero at Bryant,#CD9575
Howard at 2nd,#665D1E
Commercial at Montgomery,#915C83
5th at Howard,#841B2D
Mechanics Plaza (Market at Battery),#FAEBD7
Spear at Folsom,#008000
Civic Center BART (7th at Market),#66B447
Yerba Buena Center of the Arts (3rd @ Howard),#8DB600
Davis at Jackson,#FBCEB1
Powell at Post (Union Square),#00FFFF
Broadway St at Battery St,#7FFFD4
Clay at Battery,#D0FF14
Post at Kearny,#4B5320
Embarcadero at Vallejo,#3B444B
Golden Gate at Polk,#8F9779
Washington at Kearny,#E9D66B
San Francisco City Hall,#B2BEB5
